Component,id,English Value ,Chinese Value ,Korean Value ,Japanese Value 
sidebar.jsx,main-navigation ,Main Navigation,主页导航,,
,dashboard,Dashboard,主页导航,,
,general-information ,General Information ,基础信息,,
,product-management,Product Management ,商品管理,,
,groups-management ,Groups Management ,类别管理,,
,categories-management ,Categories Management ,分类管理,,
,price-management ,Price Management ,价格管理,,
,customers-management ,Customers Management ,客户管理,,
,vendors-management ,Vendors Management ,供货商管理,,
,agents-management ,Agents Management ,代理管理,,
,payment-terms-management ,Payments Terms Management ,付款条款管理,,
,purchase-management ,Purchase Management ,采购管理,,
,purchase-quote ,Purchase Quote ,采购报价单,,
,purchase-template ,Purchase Template ,采购模板,,
,purchase-schedule ,Purchase Schedule ,采购计划表,,
,purchase-return ,Purchase Return ,采购退货管理,,
,purchase_order ,Purchase Order ,采购订单,,
,sales-management ,Sales Management ,销售管理,,
,sales-order ,Sales Order ,销售订单,,
,warehouse-management ,Warehouse Management ,仓库管理,,
,inventory ,Inventory ,库存管理,,
,warehouse ,Warehouse ,仓库管理,,
,inventory-repackage ,Inventory Repackage ,库存打包,,
,inventory-convert ,Inventory Convert ,库存转换,,
,scrap-records ,Scrap Records ,报废记录,,
,receive ,Receive ,收货,,
